lang_loading_game    ="Menunggu"
lang_local_manifest_file_found    ="Data unduhan game tidak ada!"
lang_error_download_manifest    ="Terjadi kesalahan ketika download file data"
lang_error_parse_manifest    ="Gagal membaca file data"
lang_update_failed    ="Update gagal"
lang_notice    ="Notifikasi"
lang_text_notice_disconnect    ="Koneksi hilang. Silahkan coba lagi"
lang_notice_reconnect    ="Tidak dapat terhubung ke server.\nSilahkan coba lagi"
lang_btn_try_again    ="Coba lagi"
lang_btn_play_offline    ="Main offline"
lang_btn_update_now    ="Update sekarang"
lang_restart_to_online_ask_android    ="Kamu sedang main offline, restart game untuk main online?"
lang_restart_to_online_ask_other    ="Kamu sedang main offline, keluar dan buka kembali game untuk online"
lang_btn_restart    ="Restart"
lang_switch_to_online_ask    ="Kamu sedang main offline, main online untuk gunakan fitur ini"
lang_btn_reconnect    ="Hubungkan kembali"
lang_start_maintain    =""
lang_in_maintain"    =""
ALERT_TITLE    ="Notifikasi"
ALERT_1    ="Tidak cukup Gold"
ALERT_2    ="Tidak cukup G"
ALERT_3    =""
ALERT_4    ="Kamu harus masukkan username"
ALERT_5    ="Setidaknya password harus 6 karakter"
ALERT_6    ="Password salah"
ALERT_7    ="Akun telah ada"
ALERT_8    ="Error 8"
ALERT_9    ="Error 9"
ALERT_10    ="Error 10"
ALERT_11    ="Error 11"
ALERT_12    ="Server akan melakukan maintenance.\nSilakan periksa kembali nanti."
ALERT_13    ="Server sedang maintenance.\nSilakan periksa kembali nanti."
ALERT_14    ="Bermain lebih dari 180 menit sehari akan berdampak buruk bagi kesehatan kamu"
ALERT_15    =""
ALERT_16    =""
ALERT_17    =""
lang_congrat    ="Selamat!"
NOTI_DISCONNECT_ACTION_TIME_OUT    ="Koneksi hilang. Silahkan coba lagi"
lang_slow_connection    ="Koneksi lambat"
lang_retry    ="Coba lagi"
lang_slow_connection_retry    ="Koneksi lambat! Silahkan coba lagi"
lang_login    ="Login"
lang_login_1    ="Pilih akun yang ingin kamu gunakan"
lang_login_2    ="atau login dengan akun tamu"
lang_login_register    ="Daftar"
lang_login_name    ="Username"
lang_login_pass    ="Password"
lang_login_3    ="atau login dengan"
lang_login_pass_confirm    ="Masukkan password"
lang_guess    ="Tamu"
lang_social_change_acc    ="Login dengan akun lainnya"
lang_guess_change_acc    ="Tautkan akun facebook untuk simpan data game\n dan terhubung dengan teman"
lang_mapping    ="Tautkan"
lang_mapping_success    ="Berhasil terhubung"
lang_other_login    ="Akun telah terhubung di perangkat lain.\nData game kamu telah diubah ke mode offline."
lang_PlayNow    ="Main!"
lang_guess_can_not_use_feature    ="Kamu bermain dengan akun Tamu \dan Login sekarang untuk menggunakan fitur ini!"
lang_ask_override_progress    ="Jika kamu ingin menimpa data game saat ini, silakan ketik "OKE""
lang_press_okay    ="Masukkan " Oke ""
lang_override    ="Timpa data"
lang_cancel    ="Batal"
lang_tool_0    ="Sarung Tangan"
lang_tool_1    ="Palu"
lang_tool_2    ="Palu Godam"
lang_tool_description_0    ="Pilih dua permata di samping satu sama lain \nuntuk mengesernya"
lang_tool_description_1    ="Pilih lokasi untuk menyerang menggunakan palu, \nhancurkan permata di sana"
lang_tool_description_2    ="Pilih lokasi untuk menyerang menggunakan palu, \nmenghancurkan seluruh baris dan kolom"
ResourceType_2    ="Hati"
ResourceType_30    ="Kembang Api"
ResourceType_31    ="Lampu Disko"
ResourceType_32    ="Roket"
ResourceType_40    ="Palu"
ResourceType_41    ="Palu Godam"
ResourceType_42    ="Sarung Tangan"
lang_buy_resource_des_2    ="Segera pulihkan <rgb = 49,138,0> 5 Hati </rgb> untuk terus menyelesaikan level"
lang_buy_resource_des_30    ="Mulai level dengan <rgb=49,138,0> 1 Bom </rgb> dan <rgb=49,138,0> 1 Kembang Api </rgb> ditambahkan di lokasi secara acak"
lang_buy_resource_des_31    ="Mulai level dengan <rgb = 49.138,0> 1 Bola Disko </rgb> ditambahkan di lokasi secara acak"
lang_buy_resource_des_32    ="Ketika aktif, jumlah <rgb = 49.138,0> Roket </rgb> akan berlipat ganda"
lang_buy_resource_des_40    ="Sebuah <rgb = 49.138,0> Palu</rgb> dapat menghancurkan satu permata atau satu lapisan tanpa menghabiskan satu langkah pun"
lang_buy_resource_des_41    ="Sebuah <rgb = 49,138,0> Palu Godam</rgb> dapat menghancurkan seluruh baris atau kolom permata atau seluruh lapisan secara horizontal dan vertikal tanpa harus bergerak"
lang_buy_resource_des_42    ="Sebuah <rgb = 49.138,0> Sarung Tangan</rgb> dapat mengeser 2 permata di samping satu sama lain di papan tanpa mengeluarkan biaya"
#TUTORIAL    =""
lang_tap_to_continue    ="Sentuh untuk lanjut"
lang_unlock_at_lvl    ="Buka di <rgb = 49,138,0> Level @num@ </rgb>"
lang_tut_new_player_1    ="Hallo !"
lang_tut_new_player_2    ="Aku adalah <rgb = 49,138,0> Cheese the Cat </rgb>, mulai saat ini aku akan menemani kamu dalam petualangan <rgb = 49,138,0> Catventure </rgb>"
lang_tut_new_player_3    ="Ketuk <rgb=49,138,0>tombol roda </rgb> untuk memulai perjalanan kamu sekarang!"
lang_tut_new_booster_1    ="Kamu dapat memilih untuk membawa booster ke level untuk meningkatkan peluang menang kamu di awal level"
lang_tut_new_booster_2    ="Kali ini, aku akan memberikan item awal. Coba gunakan sekarang!"
lang_tut_play_1_1    ="Buat urutan <rgb=49,138,0> 3 permata</rgb> dengan warna yang sama dalam <rgb=49,138,0> baris </rgb> atau <rgb=49,138,0> kolom </rgb> untuk kumpulkan mereka"
lang_tut_play_1_2    ="Cocokkan permata <rgb = 49.138,0> Hijau </rgb> untuk menyelesaikan level"
lang_tut_play_2_1    ="Cocokkan <rgb = 49,138,0> 4 permata </rgb> dengan warna yang sama untuk membuat garis dan membuat <rgb = 49,138,0> Kembang Api </rgb>"
lang_tut_play_2_2    ="Bagus, coba tukar <rgb=49,138,0> Kembang Api</rgb> untuk melihat apa yang terjadi"
lang_tut_play_2_3    ="Hebat, sekarang mari kita membuat lebih banyak <rgb = 49.138,0> Kembang Api </rgb>"
lang_tut_play_2_4    ="Kamu juga dapat mengaktifkan <rgb=49,138,0> Kembang Api</rgb> dengan mengetuk dua kali"
lang_tut_play_3_1    ="Coba cocokkan <rgb = 49,138,0> 4 permata</rgb> dengan warna yang sama menjadi <rgb = 49,138,0> persegi </rgb> untuk membuat <rgb = 49,138,0> Roket </rgb>"
lang_tut_play_3_2    ="Bagus, coba geser <rgb=49,138,0> Roket</rgb> untuk melihat apa yang terjadi"
lang_tut_play_3_3    ="Luar biasa, sekarang mari buat lebih banyak <rgb = 49.138,0> Roket </rgb>!"
lang_tut_play_4_1    ="Cocokkan <rgb = 49,138,0> 5 permata </rgb> dengan warna yang sama menjadi <rgb = 49,138,0> bentuk “T” </rgb> untuk membuat <rgb = 49,138,0> Bom </rgb>"
lang_tut_play_4_2    ="Bagus, coba geser <rgb=49,138,0> Bom </rgb> untuk melihat apa yang terjadi"
lang_tut_play_4_3    ="Luar biasa, sekarang mari kita coba membuat <rgb = 49,138,0> Bom </rgb> dengan mencocokkan permata menjadi <rgb = 49,138,0> bentuk “L” </rgb>."
lang_tut_play_5_1    ="Mencocokkan <rgb = 49,138,0> 5 permata berwarna di baris yang sama </rgb> akan membuat <rgb = 49,138,0> Bola Disko </rgb>"
lang_tut_play_5_2    ="Luar biasa, sekarang geser <rgb = 49,138,0> Bola Disko </rgb> dengan permata berwarna apapun untuk mengumpulkan seluruh permata berwarna tersebut"
lang_tut_play_6    ="Cocokkan permata berwarna di sebelah <rgb = 49.138,0> Musang Pencuri </rgb> untuk mendapatkan permata khusus"
lang_tut_play_7_1    ="Kamu dapat menggabungkan permata <rgb=49,138,0> Spesial</rgb> satu sama lain untuk meningkatkan kekuatan mereka"
lang_tut_play_8    ="Coba geser <rgb = 49,138,0> Kembang Api dan Bom </rgb> untuk membuat kombo"
lang_tut_play_7_2    ="Hati-hati, <rgb=49,138,0> KingKong </rgb> akan melempar peti kayu untuk menyerang kamu! Cocokkan permata di sebelah <rgb = 49.138,0> KingKong </rgb> untuk menghentikannya!"
lang_tut_play_10    ="Oh... <rgb=49.138,0> Alat </rgb> tidak terkunci. Mari kita lihat apa yang bisa mereka lakukan!"
lang_tut_play_11_1    ="Sebuah <rgb = 49,138,0> Sarung tangan</rgb> dapat menukar 2 permata di samping satu sama lain di papan"
lang_tut_play_11_2    ="Gunakan <rgb=49,138,0> Sarung Tangan </rgb> untuk menukar permata dan membuat kombo <rgb = 49,138,0> Bom dan Kembang Api </rgb>"
lang_tut_play_11_3    ="Cocokkan permata berwarna dengan <rgb = 49.138,0> Ubin Rumput </rgb> untuk menghancurkannya."
lang_tut_play_12    ="Sebuah <rgb = 49,138,0> Palu </rgb> dapat menghancurkan lapisan permata di papan, ketuk <rgb = 49,138,0> Palu </rgb> untuk menggunakannya"
